conditions	conditions-href	title	other_names	test	meds	symptom	percent	attr	freq
Sebaceous cyst	http://www.symcat.com/conditions/sebaceous-cyst	Sebaceous cyst	"Also known as Wen, Epidermoid Cyst, Epithelial Cyst, and Keratin Cyst"	Biopsy					
Vaginitis	http://www.symcat.com/conditions/vaginitis	Vaginitis	Also known as Vagina Inflammation		Diflorasone Topical				
Tooth disorder	http://www.symcat.com/conditions/tooth-disorder	Tooth disorder	"Also known as Tooth Disease, Dental Disease, and Disease Of Teeth"		Benzocaine Topical				
Osteoporosis	http://www.symcat.com/conditions/osteoporosis	Osteoporosis	null					75+ years	4.2x
Open wound due to trauma	http://www.symcat.com/conditions/open-wound-due-to-trauma	Open wound due to trauma	null		Benzocaine-Cetylpyridinium Topical				
Insect bite	http://www.symcat.com/conditions/insect-bite	Insect bite	null					Female	0.9x
Tonsillar hypertrophy	http://www.symcat.com/conditions/tonsillar-hypertrophy	Tonsillar hypertrophy	null		Glycopyrrolate				
Conduct disorder	http://www.symcat.com/conditions/conduct-disorder	Conduct disorder	null		Fluvoxamine (Luvox)				
Conjunctivitis	http://www.symcat.com/conditions/conjunctivitis	Conjunctivitis	Also known as Conjunctiva Inflammation	Other non-OR therapeutic procedures on nose; mouth and pharynx					
Anemia	http://www.symcat.com/conditions/anemia	Anemia	null			Nosebleed	8		
Eczema	http://www.symcat.com/conditions/eczema	Eczema	Also known as Eczematous Dermatitis					Female	0.9x
Anemia	http://www.symcat.com/conditions/anemia	Anemia	null					5-14 years	0.2x
Multiple sclerosis	http://www.symcat.com/conditions/multiple-sclerosis	Multiple sclerosis	"Also known as MS, Disseminated Sclerosis, and Insular Sclerosis"					< 1 years	0.0x
Vaginitis	http://www.symcat.com/conditions/vaginitis	Vaginitis	Also known as Vagina Inflammation					Other	1.2x
Cervical cancer	http://www.symcat.com/conditions/cervical-cancer	Cervical cancer	Also known as Carcinoma Of Cervix			Intermenstrual bleeding	5		
Seborrheic keratosis	http://www.symcat.com/conditions/seborrheic-keratosis	Seborrheic keratosis	"Also known as Seborrhoeic Keratosis, Senile Keratosis, Inverted Follicular Keratosis, Seborrheic Warts, and Basal Cell Papilloma"	Other diagnostic procedures on skin and subcutaneous tissue					
Tinnitus of unknown cause	http://www.symcat.com/conditions/tinnitus-of-unknown-cause	Tinnitus of unknown cause	null		Ciclesonide Nasal				
Female infertility of unknown cause	http://www.symcat.com/conditions/female-infertility-of-unknown-cause	Female infertility of unknown cause	null	Ultrasonography (Ultrasound)					
Obsessive compulsive disorder (OCD)	http://www.symcat.com/conditions/obsessive-compulsive-disorder-ocd	Obsessive compulsive disorder (OCD)	Also known as OCD and Obsessive Compulsive Neurosis					30-44 years	1.3x
Fungal infection of the hair	http://www.symcat.com/conditions/fungal-infection-of-the-hair	Fungal infection of the hair	Also known as Tinea Capitis and Ringworm Of Scalp		Clindamycin				
Bruise	http://www.symcat.com/conditions/bruise	Bruise	Also known as Contusion					Black	0.9x
Scoliosis	http://www.symcat.com/conditions/scoliosis	Scoliosis	null	Plain x-ray (X ray)					
Peripheral arterial disease	http://www.symcat.com/conditions/peripheral-arterial-disease	Peripheral arterial disease	null			Leg cramps or spasms	4		
Vasculitis	http://www.symcat.com/conditions/vasculitis	Vasculitis	Also known as Angiitis					Hispanic	0.6x
Acute sinusitis	http://www.symcat.com/conditions/acute-sinusitis	Acute sinusitis	null			Facial pain	26		
Colorectal cancer	http://www.symcat.com/conditions/colorectal-cancer	Colorectal cancer	Also known as Colon cancer			Blood in stool	6		
Pleural effusion	http://www.symcat.com/conditions/pleural-effusion	Pleural effusion	null			Weakness	21		
Arthritis of the hip	http://www.symcat.com/conditions/arthritis-of-the-hip	Arthritis of the hip	Also known as Hip Arthritis					45-59 years	1.5x
Fracture of the ankle	http://www.symcat.com/conditions/fracture-of-the-ankle	Fracture of the ankle	Also known as Broken Ankle and Ankle Fracture					75+ years	0.7x
Acute bronchospasm	http://www.symcat.com/conditions/acute-bronchospasm	Acute bronchospasm	Also known as Bronchial Spasm			Vomiting	26		
Skin disorder	http://www.symcat.com/conditions/skin-disorder	Skin disorder	"Also known as Skin Disease, Dermatosis, Integumentary Disease, Dermatological Disease, and Dermatological Disorders"	Other diagnostic procedures on skin and subcutaneous tissue					
Knee ligament or meniscus tear	http://www.symcat.com/conditions/knee-ligament-or-meniscus-tear	Knee ligament or meniscus tear	Also known as Knee Derangement			Foot or toe cramps or spasms	1		
Gestational diabetes	http://www.symcat.com/conditions/gestational-diabetes	Gestational diabetes	"Also known as GDM, Gestational Diabetes Mellitus, and Pregnancy Induced Diabetes"		Cannabis (Schedule I Substance)				
Conjunctivitis	http://www.symcat.com/conditions/conjunctivitis	Conjunctivitis	Also known as Conjunctiva Inflammation			Fever	44		
Fibroadenoma	http://www.symcat.com/conditions/fibroadenoma	Fibroadenoma	null					Other	1.3x
Gastrointestinal hemorrhage	http://www.symcat.com/conditions/gastrointestinal-hemorrhage	Gastrointestinal hemorrhage	"Also known as GI Bleeding, Gi Bleed, Gastrointestinal Bleeding, Gastrointestinal Bleed, and GI Hemorrhage"			Melena	51		
Impetigo	http://www.symcat.com/conditions/impetigo	Impetigo	null	Referral to home health care service					
Cold sore	http://www.symcat.com/conditions/cold-sore	Cold sore	"Also known as Cold Sores, Fever Blister, Fever Sore, Lip Herpes, and Herpes Labialis"					Hispanic	1.0x
Vaginal cyst	http://www.symcat.com/conditions/vaginal-cyst	Vaginal cyst	null		Meclofenamate				
White blood cell disease	http://www.symcat.com/conditions/white-blood-cell-disease	White blood cell disease	Also known as WBC Disease and Leukocyte Disorders		Cefepime				
Epilepsy	http://www.symcat.com/conditions/epilepsy	Epilepsy	Also known as Seizure Disorder			Disturbance of memory	9		
Acute bronchitis	http://www.symcat.com/conditions/acute-bronchitis	Acute bronchitis	null			Shortness of breath	52		
Heart attack	http://www.symcat.com/conditions/heart-attack	Heart attack	"Also known as MI, Myocardial Infarction, Coronary Attack, and Cardiac Infarction"					45-59 years	1.3x
Graves disease	http://www.symcat.com/conditions/graves-disease	Graves disease	"Also known as Graves' Disease, Basedow Disease, and Exophthalmic Goiter"	Complete blood count (Cbc)					
Female infertility of unknown cause	http://www.symcat.com/conditions/female-infertility-of-unknown-cause	Female infertility of unknown cause	null					30-44 years	4.1x
Heart failure	http://www.symcat.com/conditions/heart-failure	Heart failure	"Also known as Weak Heart, Heart Weakness, Myocardial Failure, and Cardiac Insufficiency"	Hematologic tests (Blood test)					
Psoriasis	http://www.symcat.com/conditions/psoriasis	Psoriasis	null		Clobetasol Topical				
Pyogenic skin infection	http://www.symcat.com/conditions/pyogenic-skin-infection	Pyogenic skin infection	Also known as Pyoderma and Pyodermia			Skin swelling	20		
Open wound of the finger	http://www.symcat.com/conditions/open-wound-of-the-finger	Open wound of the finger	null		Diphtheria Toxoid Vaccine (Prohibit)				
Ear wax impaction	http://www.symcat.com/conditions/ear-wax-impaction	Ear wax impaction	Also known as Cerumen Impaction					White	1.1x
Metabolic disorder	http://www.symcat.com/conditions/metabolic-disorder	Metabolic disorder	null			Mouth dryness	4		
Fibroadenoma	http://www.symcat.com/conditions/fibroadenoma	Fibroadenoma	null			Pain during intercourse	1		
Brachial neuritis	http://www.symcat.com/conditions/brachial-neuritis	Brachial neuritis	"Also known as Parsonage Turner Syndrome, Brachial Plexus Neuritis, Neuralgic Amyotrophy, and Shoulder Girdle Syndrome"					Male	0.9x
Thyroid disease	http://www.symcat.com/conditions/thyroid-disease	Thyroid disease	Also known as Thyroid Disorder and Thyroid Gland Disorder		Norfloxacin				
Vulvodynia	http://www.symcat.com/conditions/vulvodynia	Vulvodynia	null			Vaginal pain	23		
Concussion	http://www.symcat.com/conditions/concussion	Concussion	Also known as Cerebral Concussion and Commotio Cerebri					45-59 years	0.7x
Gastritis	http://www.symcat.com/conditions/gastritis	Gastritis	Also known as Stomach Inflammation and Gastric Inflammation	Liver function tests (Liver test)					
Drug abuse (opioids)	http://www.symcat.com/conditions/drug-abuse-opioids	Drug abuse (opioids)	Also known as Opioid Abuse and Opiate Abuse	Psychotherapy					
Autism	http://www.symcat.com/conditions/autism	Autism	Also known as Autistic Disorder					1-4 years	3.9x
Peripheral arterial disease	http://www.symcat.com/conditions/peripheral-arterial-disease	Peripheral arterial disease	null			Feeling cold	3		
Head and neck cancer	http://www.symcat.com/conditions/head-and-neck-cancer	Head and neck cancer	null			Mouth pain	15		
Coronary atherosclerosis	http://www.symcat.com/conditions/coronary-atherosclerosis	Coronary atherosclerosis	null			Palpitations	12		
Fracture of the rib	http://www.symcat.com/conditions/fracture-of-the-rib	Fracture of the rib	"Also known as Fractured Rib, Broken Rib, and Rib Fracture"		Hydrocodone-Potassium Guaiacolsulfonate				
Fracture of the leg	http://www.symcat.com/conditions/fracture-of-the-leg	Fracture of the leg	"Also known as Broken Leg, Leg Fracture, Lower Extremity Fracture, and Lower Limb Fractures"		Levobunolol Ophthalmic				
Post-traumatic stress disorder (PTSD)	http://www.symcat.com/conditions/post-traumatic-stress-disorder-ptsd	Post-traumatic stress disorder (PTSD)	Also known as PTSD			Low self-esteem	9		
Prostate cancer	http://www.symcat.com/conditions/prostate-cancer	Prostate cancer	Also known as Cancer Of The Prostate and Malignant Neoplasm Of Prostate					60-74 years	3.1x
Sickle cell anemia	http://www.symcat.com/conditions/sickle-cell-anemia	Sickle cell anemia	Also known as Sickle Cell Disorder		Deferoxamine				
Sickle cell anemia	http://www.symcat.com/conditions/sickle-cell-anemia	Sickle cell anemia	Also known as Sickle Cell Disorder		Factor Viii				
Itching of unknown cause	http://www.symcat.com/conditions/itching-of-unknown-cause	Itching of unknown cause	null		Colloidal Oatmeal Topical				
Shingles (herpes zoster)	http://www.symcat.com/conditions/shingles-herpes-zoster	Shingles (herpes zoster)	"Also known as Zoster, Herpes Zoster, and Herpes Zona"		Gabapentin				
Eczema	http://www.symcat.com/conditions/eczema	Eczema	Also known as Eczematous Dermatitis					Male	1.1x
Scar	http://www.symcat.com/conditions/scar	Scar	null					Black	1.5x
Deep vein thrombosis (DVT)	http://www.symcat.com/conditions/deep-vein-thrombosis-dvt	Deep vein thrombosis (DVT)	Also known as DVT and Deep Thrombophlebitis					1-4 years	0.0x
Eye alignment disorder	http://www.symcat.com/conditions/eye-alignment-disorder	Eye alignment disorder	null		Atropine (Uaa)				
Thyroid disease	http://www.symcat.com/conditions/thyroid-disease	Thyroid disease	Also known as Thyroid Disorder and Thyroid Gland Disorder			Restlessness	3		
Injury of the ankle	http://www.symcat.com/conditions/injury-of-the-ankle	Injury of the ankle	Also known as Ankle injury		Tapentadol (Nucynta)				
Neuralgia	http://www.symcat.com/conditions/neuralgia	Neuralgia	null					White	1.1x
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null			Hurts to breath	8		
Otitis externa (swimmer's ear)	http://www.symcat.com/conditions/otitis-externa-swimmer-s-ear	Otitis externa (swimmer's ear)	Also known as Swimmer's ear			Plugged feeling in ear	34		
Acute otitis media	http://www.symcat.com/conditions/acute-otitis-media	Acute otitis media	null	Diagnostic procedures on nose; mouth and pharynx					
Idiopathic painful menstruation	http://www.symcat.com/conditions/idiopathic-painful-menstruation	Idiopathic painful menstruation	Also known as Primary Dysmenorrhea	Urinalysis					
Brain cancer	http://www.symcat.com/conditions/brain-cancer	Brain cancer	Also known as Cancer Of The Brain and Malignant Neoplasm Of Brain					Hispanic	0.9x
Conductive hearing loss	http://www.symcat.com/conditions/conductive-hearing-loss	Conductive hearing loss	Also known as Conductive Deafness	Other therapeutic procedures					
Diabetic retinopathy	http://www.symcat.com/conditions/diabetic-retinopathy	Diabetic retinopathy	null			Double vision	4		
Arthritis of the hip	http://www.symcat.com/conditions/arthritis-of-the-hip	Arthritis of the hip	Also known as Hip Arthritis					White	1.1x
Chronic obstructive pulmonary disease (COPD)	http://www.symcat.com/conditions/chronic-obstructive-pulmonary-disease-copd	Chronic obstructive pulmonary disease (COPD)	Also known as COPD and Chronic Obstructive Lung Disease					75+ years	1.8x
Nose disorder	http://www.symcat.com/conditions/nose-disorder	Nose disorder	"Also known as Disease Of The Nose, Nose Disease, and Nasal Disorder"					< 1 years	5.0x
Sciatica	http://www.symcat.com/conditions/sciatica	Sciatica	Also known as Ischia and Sciatic Neuralgia	Other non-OR therapeutic procedures on musculoskeletal system					
Seborrheic dermatitis	http://www.symcat.com/conditions/seborrheic-dermatitis	Seborrheic dermatitis	Also known as Seborrhea and Seborrheic Eczema		Hydrocortisone Topical				
Cardiomyopathy	http://www.symcat.com/conditions/cardiomyopathy	Cardiomyopathy	Also known as Heart Muscle Disease and Myocardial Disease					< 1 years	0.0x
Envenomation from spider or animal bite	http://www.symcat.com/conditions/envenomation-from-spider-or-animal-bite	Envenomation from spider or animal bite	null					< 1 years	0.2x
Spinal stenosis	http://www.symcat.com/conditions/spinal-stenosis	Spinal stenosis	Also known as Spinal Narrowing			Arm pain	32		
Herniated disk	http://www.symcat.com/conditions/herniated-disk	Herniated disk	Also known as Slipped Disk and Prolapsed Disk					75+ years	0.3x
Concussion	http://www.symcat.com/conditions/concussion	Concussion	Also known as Cerebral Concussion and Commotio Cerebri	Cardiac monitoring (Cardiac monitor)					
Graves disease	http://www.symcat.com/conditions/graves-disease	Graves disease	"Also known as Graves' Disease, Basedow Disease, and Exophthalmic Goiter"					Hispanic	1.4x
Impetigo	http://www.symcat.com/conditions/impetigo	Impetigo	null					15-29 years	0.6x
Bone disorder	http://www.symcat.com/conditions/bone-disorder	Bone disorder	Also known as Bone Disease					Hispanic	0.8x
Gastroesophageal reflux disease (GERD)	http://www.symcat.com/conditions/gastroesophageal-reflux-disease-gerd	Gastroesophageal reflux disease (GERD)	Also known as Reflux and GERD					75+ years	1.1x
Anxiety	http://www.symcat.com/conditions/anxiety	Anxiety	null		Alprazolam (Xanax)				
Actinic keratosis	http://www.symcat.com/conditions/actinic-keratosis	Actinic keratosis	Also known as Solar Keratosis and Senile Keratosis		Clobetasol Topical				
Sinus bradycardia	http://www.symcat.com/conditions/sinus-bradycardia	Sinus bradycardia	null		Adenosine				
Conjunctivitis due to allergy	http://www.symcat.com/conditions/conjunctivitis-due-to-allergy	Conjunctivitis due to allergy	Also known as Allergic Conjunctivitis and Atopic Conjunctivitis		Cetirizine (Zyrtec)				
Venous insufficiency	http://www.symcat.com/conditions/venous-insufficiency	Venous insufficiency	null	Examination of foot					
Ganglion cyst	http://www.symcat.com/conditions/ganglion-cyst	Ganglion cyst	Also known as Synovial Cyst and Myxoid Cyst					45-59 years	1.5x
Vulvodynia	http://www.symcat.com/conditions/vulvodynia	Vulvodynia	null					Other	0.9x
Mitral valve disease	http://www.symcat.com/conditions/mitral-valve-disease	Mitral valve disease	Also known as Mitral Valve Disorder					30-44 years	0.5x
